日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
101/02/23,28809,1424005,49.50,49.60,49.25,49.35,-0.15,31,
101/02/24,64148,3171089,49.50,49.50,49.35,49.35,0.00,51,
101/02/29,88276,4404475,49.45,50.20,49.45,50.10,+0.75,74,
101/01/02,14050,664700,47.30,47.40,47.20,47.40,+0.10,13,
101/01/03,23200,1107470,47.70,47.90,47.50,47.65,+0.25,19,
101/01/04,31121,1478212,47.70,47.70,47.30,47.65,0.00,27,
101/01/05,43110,2045072,47.65,47.65,47.30,47.50,-0.15,28,
101/01/06,82147,3875556,47.50,47.50,47.05,47.10,-0.40,68,
101/01/09,53299,2506302,47.00,47.30,47.00,47.20,+0.10,35,
101/01/10,119100,5605640,47.20,47.30,47.00,47.10,-0.10,84,
101/01/11,53042,2494242,47.00,47.10,47.00,47.05,-0.05,59,
101/01/12,63150,2981675,47.30,47.50,47.00,47.15,+0.10,48,
101/01/13,51760,2441174,47.00,47.45,47.00,47.05,-0.10,47,
101/01/16,89570,4194251,47.50,47.50,46.20,46.75,-0.30,75,
101/01/17,24591,1154023,47.05,47.10,46.75,47.10,+0.35,30,
101/01/18,90190,4245405,47.30,47.30,46.90,47.20,+0.10,55,
101/01/30,83550,3982539,47.40,48.30,47.40,47.60,+0.40,70,
101/01/31,85300,4049588,47.60,47.70,47.10,47.70,+0.10,66,
100/12/01,53099,2550789,48.45,48.45,47.55,48.30,+0.90,39,
100/12/02,18000,863550,48.30,48.30,47.80,47.95,-0.35,17,
100/12/05,12303,586944,47.50,47.95,47.50,47.70,-0.25,19,
100/12/06,12185,580123,47.70,47.70,47.60,47.60,-0.10,11,
100/12/07,39115,1863070,47.60,47.80,47.45,47.65,+0.05,26,
100/12/08,22142,1049342,47.65,47.65,47.30,47.30,-0.35,18,
100/12/09,26200,1242160,47.30,47.65,47.20,47.65,+0.35,19,
100/12/12,11200,533230,47.65,47.65,47.40,47.65,0.00,13,
100/12/13,29319,1388102,47.15,47.65,47.15,47.30,-0.35,22,
100/12/14,12332,584917,47.30,47.65,47.15,47.65,+0.35,19,
100/12/15,57005,2684799,47.30,47.30,47.00,47.10,-0.55,31,
100/12/16,21203,1000500,47.10,47.50,47.10,47.50,+0.40,24,
100/12/19,52000,2440950,47.50,47.50,46.75,47.15,-0.35,45,
100/12/20,17100,803670,46.50,47.15,46.50,47.15,0.00,18,
100/12/21,65250,3103112,47.20,47.80,47.20,47.50,+0.35,39,
100/12/22,9549,452302,47.50,47.70,47.05,47.55,+0.05,15,
100/12/23,33661,1601894,47.50,47.65,47.50,47.65,+0.10,34,
100/12/26,22050,1046783,47.80,47.80,47.30,47.30,-0.35,19,
100/12/27,23021,1084310,47.30,47.45,47.00,47.30,0.00,19,
100/12/28,37000,1745350,47.00,47.30,46.70,47.30,0.00,27,
100/12/29,61200,2896100,47.10,47.40,47.10,47.30,0.00,38,
100/12/30,34010,1614076,47.70,47.70,47.20,47.30,0.00,29,
100/11/01,58229,2873085,48.90,49.80,48.90,49.50,+0.60,48,
100/11/02,38090,1869405,48.90,49.50,48.90,49.50,0.00,36,
100/11/03,36400,1783560,49.50,49.50,48.80,48.90,-0.60,28,
100/11/04,74100,3630670,48.90,49.50,48.80,49.40,+0.50,42,
100/11/07,12110,596839,49.50,49.50,49.05,49.10,-0.30,13,
100/11/08,29399,1450439,49.10,49.50,49.00,49.35,+0.25,33,
